Handle,Impact Hours,Payment Status,Estimate IH if nothing was deducted
zeptimusq,669.4664005,unpaid,
santigs67,593.6099033,unpaid,
cranders71,394.8586001,unpaid,
ygganderson,371.5430221,Partial paid,
sembrestels,361.2694271,Partial paid,
solsista,290.3770532,unpaid,
iviangita,254.5223555,Partial paid,509.0447111
akrtws,247.1085027,unpaid,
mateodaza,224.9924603,Partial paid,
metaverde,204.5861814,unpaid,
durgadasji,201.6961274,unpaid,
juankbell,165.4311307,Partial paid,
jessicazartler,163.611904,Partial paid,
griffgreen,148.8212128,paid,992.1414184
mzargham,148.6995784,unpaid,
liviade,136.1564648,paid,907.7097654
laurenluz,134.8050696,Partial paid,
shawn_westrick,119.2399095,unpaid,
tonga2020,118.743043,unpaid,
Mount Manu#3530,115.7865481,unpaid,
Vyvy-vi#5040,114.1013398,Partial paid,
naynaysoo,109.030292,Partial paid,
divine_comedian,107.3892066,Partial Paid,
markop,106.5630094,Partial Paid,
danlessa,103.8422536,unpaid,
vitormarthendal,101.8897617,Partial paid,
tam2140,98.8638195,paid,659.09213
ddan#2489,98.65529268,unpaid,
wslyvh,97.59995884,unpaid,
xgabi,97.40022613,unpaid,
merlinegalite,94.68095428,Partial paid,
paulo_c2d,92.46979055,paid,616.4652704
jeffemmett,88.75983166,paid,591.732211
sgonzt,88.49458296,Partial paid,
freedumbs00,87.4604459,paid,
kristoferkristofer,84.63161406,Partial Paid,
vegayp,82.06409883,paid,
Nuggan#5183,81.98017538,unpaid,
danibelle,79.80869495,unpaid,
sponnet2,78.52255101,unpaid,
blairv,78.06093779,unpaid,
lkngtn,74.05329369,unpaid,
Suga#8514,72.4058915,Partial Paid,
simondlr,67.91172864,unpaid,
manualzuru,66.68396571,unpaid,
tannra,65.9012815,unpaid,
chuygarcia92,62.56772939,Partial paid,
knobsdao,60.91245493,Paid,
heater03,60.89648263,unpaid,
benjaminscholtz,59.69610694,unpaid,
geleeroyale,59.17951586,Partial Paid,
owocki,55.17518686,unpaid,
fabiosmendes,54.21444499,Partial paid,
AnnaMarieSwan#8824,51.22496732,unpaid,
niranb,50.9157722,unpaid,
fiorebotta,50.54337329,Partial paid,
randomshinichi,50.4694867,unpaid,
atacas,49.78627862,Partial paid,
fabimol,49.56285416,Paid,
krisjones,48.16123755,Paid,
fvigevani,45.84516991,unpaid,
rdfbbx#6437,45.58664402,Partial Paid,
hbesso31,45.12961681,unpaid,
aminlatifi,44.3550951,Partial paid,
vntrp,44.31867887,unpaid,
